time	mass	energy	torque (excl. 0.5 RHill) 
0.0000000000000000e+00	9.5546032303939077e-01	7.2619910507293808e+00	9.3309801435125266e+00
9.9876174230849313e-01	9.5526033940905353e-01	7.2657725296221063e+00	9.8254633721119085e+00
1.9975960071076293e+00	9.5536079903918170e-01	7.2760752587483521e+00	9.8704761639943115e+00
2.9988416854372564e+00	9.5558002300861178e-01	7.2860558460901466e+00	9.2395799175683901e+00
3.9975552213274437e+00	9.5555765233460765e-01	7.2951098196364699e+00	1.0147246068115752e+01
5.0000000000000000e+00	9.5535743362864300e-01	7.3038934117897343e+00	9.5729437813876057e+00
