time	mass	energy	torque (excl. 0.5 RHill) 
0.0000000000000000e+00	2.3842751169087450e+01	2.3530069597970891e+02	1.2030463902856781e-08
9.9827087991968044e-01	2.3805199274471306e+01	2.3542700222286356e+02	-1.7867606050968321e-02
1.9938005823673710e+00	2.3811188377819384e+01	2.3587978371134244e+02	1.6833107283849369e-01
2.9952749695265068e+00	2.3957425633885265e+01	2.3687301896593263e+02	-2.9270276353871660e-01
3.9974510840477571e+00	2.3977576876244626e+01	2.3737572401906709e+02	7.1434652136387877e-01
5.0000000000000000e+00	2.3732439940974892e+01	2.3682024187901766e+02	3.6447854455781681e-01
